id,kode_komponen,nama_barang,spek1,spek2,merek,satuan,kode_rekening,left_rekening,rincian_rekening
888,02.06.02.01.04.11,Meja Operator Ruang Sidang ,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
889,02.06.02.01.04.12,Meja Kerja Kegiatan,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
890,02.06.02.01.04.13,Meja Lipat,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
891,02.06.02.01.04.14,Meja Ombak,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
892,02.06.02.01.04.15,Meja Lengkung,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
893,02.06.02.01.04.16,Coffee Table,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
894,02.06.02.01.04.17,Meja Oak,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
895,02.06.02.01.04.18,Meja Kayu Palet,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
896,02.06.02.01.04.19,Meja HPL,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
897,02.06.02.01.04.20,Meja Pusaran,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
898,02.06.02.01.04.21,Meja Sudut Floating,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
899,02.06.02.01.04.22,Meja Terapi + Kursi,,,,Set,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
900,02.06.02.01.04.23,Meja Bundar Ruang Tamu,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
901,02.06.02.01.04.24,Meja Console,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
902,02.06.02.01.04.25,Meja Komputer,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
903,02.06.02.01.04.27,Meja TV,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
904,02.06.02.01.05.01,Bangku Taman,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
905,02.06.02.01.05.02,Kursi Kantor,,,,Buah,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
906,02.06.02.01.05.03,Kursi Tunggu, 3 Set,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
907,02.06.02.01.05.04,Kursi Tunggu, 4 Seat,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
908,02.06.02.01.05.05,Kursi Stadion,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
909,02.06.02.01.05.06,Kursi Taman,,,,Buah,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
910,02.06.02.01.05.07,Kursi Susun,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
911,02.06.02.01.05.08.B,Cover Kursi,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
912,02.06.02.01.05.09,Kursi Taman Panjang Model Taiwan,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
913,02.06.02.01.05.10,Kursi Refleksi,,,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
914,02.06.02.01.05.11,Kursi Antrian,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
915,02.06.02.01.06.01,Kursi Gantung,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
916,02.06.02.01.06.02,Kursi Ruang Tamu,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
917,02.06.02.01.06.03,Kursi Dining Side,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
918,02.06.02.01.06.04,Kursi Dudukan Lengan,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
919,02.06.02.01.08.01,Tempat Tidur Jenasah Bahan Stainless Steel,,,,Unit,5.2.2.27.01,5.2.2,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat
920,02.06.02.01.09.01,Tempat Tidur Kayu, Single,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
921,02.06.02.01.09.02,Bedset Include Nakas,,,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
922,02.06.02.01.10.01,Meja Rapat Pimpinan, Uk.240x60x75 + Stopkontak,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
923,02.06.02.01.10.02,Meja Rapat,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
924,02.06.02.01.10.03,Meja Rapat Ruang Panitia Musyawarah,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
925,02.06.02.01.10.04,Meja Rapat Ruang Badan Kehormatan,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
926,02.06.02.01.10.05,Meja Rapat Ruang Badan Pembuat Perda (banleg),,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
927,02.06.02.01.11.01,Meja Penandatanganan,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
928,02.06.02.01.11.02,Meja Staff,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
929,02.06.02.01.15.01.B,Mimbar Podium,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
930,02.06.02.01.15.02,Mimbar Maasjid,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
931,02.06.02.01.17.01,Meja Reception,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
932,02.06.02.01.19.01,Meja Pimpinan,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
933,02.06.02.01.19.02.B,Meja Kantor,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
934,02.06.02.01.21.01,Meja Periksa / Meja UKS,,,,Buah,5.2.3.09.02,5.2.3,Belanja Modal Pengadaan Alat Peraga / Praktik Sekolah
935,02.06.02.01.21.02,Meja Tindakan,,,,Unit,5.2.3.08.01,5.2.3,Belanja Modal Pengadaan Alat Kedokteran
936,02.06.02.01.26.01,Meja Guru,,,,Unit,5.2.3.06.05,5.2.3,Belanja Modal Pengadaan Meja dan kursi Sekolah
937,02.06.02.01.26.02,Meja Siswa,,,,buah,5.2.3.06.05,5.2.3,Belanja Modal Pengadaan Meja dan kursi Sekolah
938,02.06.02.01.27.01,Kursi Sidang,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
939,02.06.02.01.27.02,Kursi Sidang Pimpinan,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
940,02.06.02.01.28.01,Meja Kursi Tamu,,,,Set,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
941,02.06.02.01.28.02,Kursi Tamu,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
942,02.06.02.01.28.03,Kursi Syahrini,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
943,02.06.02.01.30.01,Kursi Putar, Sandaran Sedang,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
944,02.06.02.01.30.02,Kursi Eksekutif, Sandaran Tinggi,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
945,02.06.02.01.30.03,Kursi Semi Eksekutif, Sandaran Tinggi,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
946,02.06.02.01.30.04,Kursi Kerja,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
947,02.06.02.01.30.05,Kursi Operator,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
948,02.06.02.01.31.01,Kursi Event,,,,Unit,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
949,02.06.02.01.31.02,Kursi Bean Bag,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
950,02.06.02.01.31.03.B,Kursi Untuk Menjahit,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
951,02.06.02.01.32.01,Kursi Siswa,,,,buah,5.2.3.06.05,5.2.3,Belanja Modal Pengadaan Meja dan kursi Sekolah
952,02.06.02.01.32.02,Kursi Guru,,,,Buah,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
953,02.06.02.01.33.01,Bangku Sudut,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
954,02.06.02.01.34.01,Kursi Lipat,,,,Unit,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
955,02.06.02.01.38.01,Kasur Gulung,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
956,02.06.02.01.38.02,Kasur Kapuk,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
957,02.06.02.01.38.03,Kasur Angin,,,,Set,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
958,02.06.02.01.38.04,Kasur Busa,,Ukuran 1m X 2m X 20 Cm,Hi-qua,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
959,02.06.02.01.38.04,Kasur Busa,,Ukuran 1m X 2m X 20 Cm,Hi-qua,Unit,5.2.3.08.01,5.2.3,Belanja Modal Pengadaan Alat Kedokteran
960,02.06.02.01.38.05,Kasur Decubitus,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
961,02.06.02.01.38.05,Kasur Decubitus,,,,Unit,5.2.3.08.01,5.2.3,Belanja Modal Pengadaan Alat Kedokteran
962,02.06.02.01.39.02,Bantal,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
963,02.06.02.01.40.01,Guling, isi busa halus,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
964,02.06.02.01.40.02,Guling,,,,Pcs,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
965,02.06.02.01.42.01,Selimut,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
966,02.06.02.01.46.01,Tikar,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
967,02.06.02.01.47.01,Tenda Display, Uk. 3 x 3 m,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
968,02.06.02.01.47.02,Tenda Pramuka / Tenda Gulung,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
969,02.06.02.01.47.03,Tenda Kegiatan,,,,Unit,5.2.3.03.04,5.2.3,Belanja Modal Pengadaan Alat Angkutan Apung Tidak Bermotor
970,02.06.02.01.47.04,Tenda Taman,,,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
971,02.06.02.01.47.05,Tenda Kuncup, Uk.3x3,,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
972,02.06.02.01.47.06,Tenda Pleton,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
973,02.06.02.01.47.07,Tenda Roofi,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
974,02.06.02.01.47.08,Tenda Payung,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
975,02.06.02.01.47.09,Tenda Sarnafil,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
976,02.06.02.01.49.01,Sofa, 4 Seat,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
977,02.06.02.01.49.02,Sofa, 5 Seat,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
978,02.06.02.01.49.03,Sofa, 2 Seat,,,Set,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
979,02.06.02.01.49.04,Beekled Motif,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
980,02.06.02.01.49.05.D,Sofa Eksekutif,,,,Set,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
981,02.06.02.01.49.06,Sofa ,1 Seat,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
982,02.06.02.01.54.01,Lemari Pakaian, 2 Pintu,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
983,02.06.02.01.61.01,Meja Ruang Racik Obat,,"Polywood Tebal 9-12mm, Finishing Luar HPL Taco Sheet Motif, Volume Meja 5 M'",,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
984,02.06.02.01.61.01,Meja Ruang Racik Obat,,"Polywood Tebal 9-12mm, Finishing Luar HPL Taco Sheet Motif, Volume Meja 5 M'",,Unit,5.2.3.08.01,5.2.3,Belanja Modal Pengadaan Alat Kedokteran
985,02.06.02.01.61.02,Workstation,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
986,02.06.02.01.61.03,Bangku Taman Besi Klasik,,,,Buah,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
987,02.06.02.01.61.04,Workstation Konfigurasi 2 Staf, ( 120 X 120 X 110 Cm) Termasuk 2 Nakas,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
988,02.06.02.01.61.05,Workstation Konfigurasi 3 Staf, ( 360 X 60 X 110 Cm) Termasuk 3 Nakas,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
989,02.06.02.01.61.06,Workstation Konfigurasi 6 Staf, ( 360 X 120 X 110 Cm) Termasuk 6 Nakas,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
990,02.06.02.01.61.07,Meja + Bangku,,,,Set,5.2.3.06.04,5.2.3,Belanja Modal Pengadaan Meja dan Kursi Kerja / Rapat
991,02.06.02.01.61.08,Bangku Enceng Gondok,,,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
992,02.06.02.01.61.09,Sekat Bangku Taman Besi Klasik,,,,Set,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
993,02.06.02.01.61.10,Bahan Bekleed Kursi,,,,Set,5.2.2.02.06,5.2.2,Belanja Peralatan  Usaha
994,02.06.02.01.61.11,Bangku Taman Besi Klasik Bersekat,,,,Buah,5.2.3.12.01,5.2.3,Belanja Modal Pengadaan Sarana dan Prasarana Taman
995,02.06.02.01.61.12,Meja Ginekologi,,,,Unit,5.2.3.08.02,5.2.3,Belanja Modal Pengadaan Alat Kesehatan
996,02.06.02.01.61.13,Meja Kursi Bahan Kayu Jati ,(1 Buah Meja Dan 4 Buah Kursi),,,Set,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
997,02.06.02.01.63.01,Bendera Merah Putih,,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
998,02.06.02.01.63.02,Bendera Merah Putih, Uk. 180x270 Cm,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
999,02.06.02.01.63.03,Bendera Pataka,,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1000,02.06.02.01.63.04,Bendera Negara Asing , (ruangan),Ukuran 1 X 1.5,,Pcs,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1001,02.06.02.01.63.05,Bendera Negara Asing , (meja),Ukuran 15 X 22.5,,Pcs,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1002,02.06.02.01.63.06,Bendera Negara (Kendaraan),,,,Pcs,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1003,02.06.02.01.64.01,Kain Peles/Umbul-Umbul,,,,Meter,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1004,02.06.02.01.64.02,Umbul-umbul Hias, Dekoratif,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1005,02.06.02.01.64.03,Rumbai Merah Putih,,,,Meter,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1006,02.06.02.01.64.04,Umbul Umbul Merah Putih,,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1007,02.06.02.01.64.05,Bendera Negara Asing,,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1008,02.06.02.01.64.06,Rolling Giant Flag Ceremony,,,,Set,5.2.2.02.12,5.2.2,Belanja Dekorasi
1009,02.06.02.01.64.07,Umbul Umbul Hias Aneka Warna,,,,Buah,5.2.2.01.12,5.2.2,Belanja Pakai Habis Bendera/ Umbul-umbul
1010,02.06.02.02.01.01,Souvenir Jam Dinding,,,,Buah,5.2.2.23.01,5.2.2,Belanja Pemberian Hadiah
1011,02.06.02.03.01.01,Mesin Penyedot Debu,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1012,02.06.02.03.04.01,Mesin Cuci, 12 Kg Front loading,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1013,02.06.02.03.05.01,Sabun Pembersih Lantai, 800 ml,,,Botol,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1014,02.06.02.03.05.02,Alat Pembersih Kaca,,,,Buah,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1015,02.06.02.03.05.03,Lap Sintetis, uk. Standar kanebo,,,Buah,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1016,02.06.02.03.05.04,Contact Cleaner,,,,Kaleng,5.2.2.02.01,5.2.2,Belanja Bahan Baku Bangunan
1017,02.06.02.03.05.05,Antiseptik Tangan, 500 ml,,,Botol,5.2.2.01.18,5.2.2,Belanja Pakai Habis Bahan Percontohan/Praktek
1018,02.06.02.03.05.06,Cotton Bud, Isi 100 Pieces,,,Pak,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1019,02.06.02.03.05.07,Emulsifier/Cairan Emulsifier Linen,,,,Jerigen,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1020,02.06.02.03.05.08,Pelembut Dan Pewangi Linen/Cairan Pelembut Dan Pewangi Linen,,,,Jerigen,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1021,02.06.02.03.05.09,Pemutih Linen/Cairan Pemutih Linen,,"Jenis Cair,warna Kuning Berfungsi Untuk Mengangkat Kotoran Dan Noda Pada Linen Warna Putih Sekaligus Sebagai Sterilisasi Linen",,Jerigen,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1022,02.06.02.03.05.11,Penetralisir Linen/Cairan Penetralisir Linen,,,,Jerigen,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1023,02.06.02.03.05.12,Detergent/Sabun Detergent Linen,,,,Pail,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1024,02.06.02.03.05.13,Detergent Mengandung Alkali/Sabun Detergent Linen Mengandung Alkali Khusus,,,,Pail,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
1025,02.06.02.03.05.14,Serok Lantai Karet,,,,Buah,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1026,02.06.02.03.05.15,Contac Cleaner,,,,Botol,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
1027,02.06.02.03.05.16,Alat Pembersih Bertekanan Tinggi Besar,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
1028,02.06.02.03.05.17,Tempat Pemandian Jenasah Bahan Stainless Steel,,,,Unit,5.2.2.27.01,5.2.2,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat
1029,02.06.02.03.05.18,Steam Cuci Mobil,,,,Unit,5.2.3.04.01,5.2.3,Belanja Modal Pengadaan Alat Bengkel BerMesin
1030,02.06.02.03.05.19,Pengki Dan Sapu,,,,Unit,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1031,02.06.02.03.05.20,Alat Pembersih Bertekanan Tinggi Engine,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
1032,02.06.02.03.05.21,Sabun Cair Refill Soft Care, 4 Liter,,,Jerigen,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1033,02.06.02.03.05.22,Cairan Poles Lantai Marmer Dan Teraso, 5 Liter,,,Jerigen,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1034,02.06.02.03.05.23,Cleaner Multi Purpose Wax,,,,Buah,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1035,02.06.02.03.05.24,Cairan Pembersih, 750 Ml,,,Botol,5.2.2.01.05,5.2.2,Belanja Pakai Habis Perlengkapan Kebersihan
1036,02.06.02.04.01.01,Lemari Es, 2 Pintu,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1037,02.06.02.04.01.02,Cooler Box,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1038,02.06.02.04.01.03,Lemari Es, Kecil,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1039,02.06.02.04.01.04,Showcase,,"190 Watt, Dimensi (mm) : 540 X 582 X 1525, Kapasitas 200 Liter SCN 180",,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1040,02.06.02.04.01.05,Lemari Es, 3 Pintu,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1041,02.06.02.04.01.06,Showcase Cooler,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1042,02.06.02.04.01.07,Freezer,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1043,02.06.02.04.02.01,AC Ceiling Cassette, 5 PK,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1044,02.06.02.04.03.01,AC Floor Standing, 3 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1045,02.06.02.04.03.02,AC Floor Standing, 5 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1046,02.06.02.04.03.03,AC Portable,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1047,02.06.02.04.03.04,AC Bus Single,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
1048,02.06.02.04.04.01,AC Single Split," 0,5 PK",,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1049,02.06.02.04.04.02,AC Single Split, 3/4 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1050,02.06.02.04.04.03,AC Single Split, 1 PK,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1051,02.06.02.04.04.03,AC Single Split, 1 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1052,02.06.02.04.04.04,AC Single Split," 1,5 PK",,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1053,02.06.02.04.04.05,AC Single Split, 2 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1054,02.06.02.04.04.06,"AC Single Split 1,5 PK Inverter + Pasang",,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1055,02.06.02.04.04.07,AC Split Duct, 15 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1056,02.06.02.04.04.08,AC Split 2PK Anti Bakteri,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
1057,02.06.02.04.04.08,AC Split 2PK Anti Bakteri,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1058,02.06.02.04.04.09,"AC 0,5 PK Anti Bakteri",,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1059,02.06.02.04.04.10,AC 1 PK Anti Bakteri,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1060,02.06.02.04.04.11,"AC 1,5 PK Anti Bakteri",,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
1061,02.06.02.04.04.12,AC Split Duct ,5 PK,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
